iso3_r250_id,iso3_r250_label,iso3_r250_name,Q,P,lambda,ppp_ratio,Geothermal_energy_provision
320.0,GTM,Guatemala,262.14,201000.0,0.49,0.4195,61811515.0
254.0,GUF,French Guiana,NA,NA,NA,NA,NA
316.0,GUM,Guam,NA,NA,NA,NA,NA
328.0,GUY,Guyana,NA,328000.0,NA,0.4838,NA
344.0,HKG,"China, Hong Kong Special Administrative Region",NA,161000.0,NA,0.7899,NA
334.0,HMD,Heard Island and McDonald Island,NA,NA,NA,NA,NA
340.0,HND,Honduras,295.92,208000.0,0.96,0.4326,136363783.0
191.0,HRV,Croatia,91.9,168000.0,1.0,0.0635,243172978.0
332.0,HTI,Haiti,NA,211000.0,NA,0.3957,NA
348.0,HUN,Hungary,18.0,180000.0,0.62,0.4775,4227544.0
360.0,IDN,Indonesia,14100.0,109000.0,0.71,0.3426,3173132241.0
833.0,IMN,Isle of Man,NA,NA,NA,NA,NA
356.0,IND,India,NA,182000.0,NA,0.2874,NA
86.0,IOT,British Indian Ocean Territory,NA,NA,NA,NA,NA
372.0,IRL,Ireland,NA,190000.0,NA,0.889,NA
364.0,IRN,Iran,NA,52000.0,NA,0.5607,NA
368.0,IRQ,Iraq,NA,85000.0,NA,0.4631,NA
352.0,ISL,Iceland,6018.14,122000.0,0.89,1.131,578705423.0
376.0,ISR,Israel,NA,118000.0,NA,1.0708,NA
380.0,ITA,Italy,6074.86,168000.0,0.89,0.7246,1246513291.0
388.0,JAM,Jamaica,NA,264000.0,NA,0.5561,NA
832.0,JEY,Jersey,NA,NA,NA,NA,NA
400.0,JOR,Jordan,NA,246000.0,NA,0.4423,NA
392.0,JPN,Japan,2847.0,212000.0,0.61,0.947,390055889.0
398.0,KAZ,Kazakhstan,NA,44000.0,NA,0.3296,NA
404.0,KEN,Kenya,5383.86,217000.0,0.88,0.4182,2455204543.0
417.0,KGZ,Kyrgyzstan,NA,36000.0,NA,0.2681,NA
116.0,KHM,Cambodia,NA,182000.0,NA,0.3617,NA
296.0,KIR,Kiribati,NA,413000.0,NA,0.6337,NA
659.0,KNA,Saint Kitts and Nevis,NA,306000.0,NA,0.7264,NA
410.0,KOR,South Korea,NA,114000.0,NA,0.7273,NA
414.0,KWT,Kuwait,NA,7000.0,NA,0.6254,NA
418.0,LAO,Laos,NA,132000.0,NA,0.3344,NA
422.0,LBN,Lebanon,NA,130000.0,NA,0.4229,NA
430.0,LBR,Liberia,NA,390000.0,NA,0.0019,NA
434.0,LBY,Libya,NA,126000.0,NA,0.6152,NA
662.0,LCA,Saint Lucia,NA,321000.0,NA,0.6304,NA
438.0,LIE,Liechtenstein,NA,95000.0,NA,NA,NA
144.0,LKA,Sri Lanka,NA,173000.0,NA,0.2893,NA
426.0,LSO,Lesotho,NA,139000.0,NA,0.4213,NA
440.0,LTU,Lithuania,NA,95000.0,NA,0.4834,NA
442.0,LUX,Luxembourg,NA,121000.0,NA,0.9285,NA
428.0,LVA,Latvia,NA,114000.0,NA,0.5371,NA
446.0,MAC,"China, Macao Special Administrative Region",NA,NA,NA,0.6497,NA
663.0,MAF,Saint-Martin,NA,NA,NA,NA,NA
504.0,MAR,Morocco,NA,124000.0,NA,0.436,NA
492.0,MCO,Monaco,NA,NA,NA,NA,NA
498.0,MDA,Moldova,NA,85000.0,NA,0.3284,NA
450.0,MDG,Madagascar,NA,113000.0,NA,0.31,NA
462.0,MDV,Maldives,NA,394000.0,NA,0.5087,NA
484.0,MEX,Mexico,5351.0,165000.0,0.55,0.4946,989484040.0
584.0,MHL,Marshall Islands,NA,406000.0,NA,0.8755,NA
807.0,MKD,North Macedonia,NA,155000.0,NA,0.3322,NA
466.0,MLI,Mali,NA,142000.0,NA,0.3447,NA
470.0,MLT,Malta,NA,190000.0,NA,0.6309,NA
104.0,MMR,Myanmar,NA,81000.0,NA,0.231,NA
499.0,MNE,Montenegro,NA,141000.0,NA,0.3691,NA
496.0,MNG,Mongolia,NA,56000.0,NA,0.3196,NA
580.0,MNP,Northern Mariana Islands,NA,NA,NA,NA,NA
508.0,MOZ,Mozambique,NA,96000.0,NA,0.3738,NA
478.0,MRT,Mauritania,NA,176000.0,NA,0.315,NA
500.0,MSR,Montserrat,NA,NA,NA,NA,NA
474.0,MTQ,Martinique,NA,NA,NA,NA,NA
480.0,MUS,Mauritius,NA,205000.0,NA,0.4746,NA
454.0,MWI,Malawi,NA,172000.0,NA,0.4006,NA
458.0,MYS,Malaysia,NA,120000.0,NA,0.3774,NA
175.0,MYT,Mayotte,NA,NA,NA,NA,NA
516.0,NAM,Namibia,NA,151000.0,NA,0.4924,NA
540.0,NCL,New Caledonia,NA,NA,NA,NA,NA
562.0,NER,Niger,NA,213000.0,NA,0.3958,NA
574.0,NFK,Norfolk Island,NA,NA,NA,NA,NA
566.0,NGA,Nigeria,NA,119000.0,NA,0.4224,NA
558.0,NIC,Nicaragua,778.13,334000.0,0.5,0.3275,394553053.0
570.0,NIU,Niue,NA,NA,NA,NA,NA
528.0,NLD,Netherlands,NA,144000.0,NA,0.859,NA
578.0,NOR,Norway,NA,101000.0,NA,1.0774,NA
524.0,NPL,Nepal,NA,120000.0,NA,0.2831,NA
520.0,NRU,Nauru,NA,NA,NA,0.9948,NA
554.0,NZL,New Zealand,8261.0,120000.0,0.92,0.9465,965444448.0
512.0,OMN,Oman,NA,60000.0,NA,0.5149,NA
586.0,PAK,Pakistan,NA,217000.0,NA,0.2511,NA
591.0,PAN,Panama,NA,254000.0,NA,0.4957,NA
612.0,PCN,Pitcairn Islands,NA,NA,NA,NA,NA
604.0,PER,Peru,NA,195000.0,NA,0.5188,NA
608.0,PHL,Philippines,10690.8,181000.0,0.56,0.3811,2848113035.0
585.0,PLW,Palau,NA,321000.0,NA,0.8528,NA
598.0,PNG,Papua New Guinea,96.0,289000.0,0.07,0.6345,2880625.0
616.0,POL,Poland,NA,137000.0,NA,0.4424,NA
630.0,PRI,Puerto Rico,NA,243000.0,NA,0.8789,NA
408.0,PRK,North Korea,NA,NA,NA,NA,NA
620.0,PRT,Portugal,215.36,222000.0,0.81,0.6165,63156218.0
600.0,PRY,Paraguay,NA,66000.0,NA,0.4114,NA
275.0,PSE,Palestine,NA,176000.0,NA,NA,NA
258.0,PYF,French Polynesia,NA,NA,NA,NA,NA
634.0,QAT,Qatar,NA,37000.0,NA,0.6218,NA
638.0,REU,Réunion,NA,NA,NA,NA,NA
642.0,ROU,Romania,NA,92000.0,NA,0.3862,NA
643.0,RUS,Russia,432.7,84000.0,0.53,0.3697,52067767.0
646.0,RWA,Rwanda,NA,137000.0,NA,0.3468,NA
682.0,SAU,Saudi Arabia,NA,74000.0,NA,0.4964,NA
729.0,SDN,Sudan,NA,24000.0,NA,0.2398,NA
686.0,SEN,Senegal,NA,182000.0,NA,0.3923,NA
702.0,SGP,Singapore,NA,55000.0,NA,0.6261,NA
239.0,SGS,South Georgia and the South Sand,NA,NA,NA,NA,NA
654.0,SHN,"Saint Helena, Ascension and Tris",NA,NA,NA,NA,NA
744.0,SJM,Svalbard and Jan Mayen,NA,NA,NA,NA,NA
90.0,SLB,Solomon Islands,NA,716000.0,NA,0.8852,NA
694.0,SLE,Sierra Leone,NA,180000.0,NA,0.312,NA
222.0,SLV,El Salvador,1474.0,195000.0,0.79,0.4428,511729283.0
674.0,SMR,San Marino,NA,155000.0,NA,0.8117,NA
706.0,SOM,Somalia,NA,NA,NA,NA,NA
666.0,SPM,Saint Pierre and Miquelon,NA,NA,NA,NA,NA
688.0,SRB,Serbia,NA,107000.0,NA,0.3767,NA
728.0,SSD,South Sudan,NA,NA,NA,NA,NA
678.0,STP,São Tomé and Príncipe,NA,183000.0,NA,0.4188,NA
740.0,SUR,Suriname,NA,72000.0,NA,0.3552,NA
703.0,SVK,Slovakia,NA,156000.0,NA,0.571,NA
705.0,SVN,Slovenia,NA,266000.0,NA,0.6092,NA
752.0,SWE,Sweden,NA,104000.0,NA,0.9076,NA
748.0,SWZ,Swaziland,NA,165000.0,NA,0.4231,NA
534.0,SXM,Sint Maarten,NA,NA,NA,0.7626,NA
690.0,SYC,Seychelles,NA,321000.0,NA,0.5594,NA
760.0,SYR,Syria,NA,78000.0,NA,0.3735,NA
796.0,TCA,Turks and Caicos Islands,NA,NA,NA,1.0195,NA
148.0,TCD,Chad,NA,212000.0,NA,0.3799,NA
768.0,TGO,Togo,NA,176000.0,NA,0.3731,NA
764.0,THA,Thailand,1.25,137000.0,0.37,0.381,166174.0
762.0,TJK,Tajikistan,NA,63000.0,NA,0.2517,NA
772.0,TKL,Tokelau,NA,NA,NA,NA,NA
795.0,TKM,Turkmenistan,NA,NA,NA,NA,NA
626.0,TLS,Timor-Leste,NA,234000.0,NA,0.3429,NA
776.0,TON,Tonga,NA,362000.0,NA,0.7341,NA
780.0,TTO,Trinidad and Tobago,NA,66000.0,NA,0.5871,NA
788.0,TUN,Tunisia,NA,77000.0,NA,0.2824,NA
792.0,TUR,Turkey,8951.74,89000.0,0.61,0.3238,1502849810.0
798.0,TUV,Tuvalu,NA,NA,NA,0.9719,NA
158.0,TWN,Taiwan,NA,117000.0,NA,NA,NA
834.0,TZA,Tanzania,NA,126000.0,NA,0.3566,NA
800.0,UGA,Uganda,NA,169000.0,NA,0.3397,NA
804.0,UKR,Ukraine,NA,64000.0,NA,0.2546,NA
581.0,UMI,United States Minor Outlying Isl,NA,NA,NA,NA,NA
858.0,URY,Uruguay,NA,167000.0,NA,0.7104,NA
840.0,USA,United States,18364.0,181000.0,0.79,1.0,2609547261.0
860.0,UZB,Uzbekistan,NA,52000.0,NA,0.2389,NA
336.0,VAT,Vatican City,NA,NA,NA,NA,NA
670.0,VCT,Saint Vincent and the Grenadines,NA,346000.0,NA,0.5698,NA
862.0,VEN,Venezuela,NA,1238000.0,NA,NA,NA
92.0,VGB,British Virgin Islands,NA,NA,NA,NA,NA
850.0,VIR,"Virgin Islands, U.S.",NA,NA,NA,0.9653,NA
704.0,VNM,Vietnam,NA,125000.0,NA,0.312,NA
548.0,VUT,Vanuatu,NA,382000.0,NA,0.9664,NA
876.0,WLF,Wallis and Futuna,NA,NA,NA,NA,NA
882.0,WSM,Samoa,NA,385000.0,NA,0.648,NA
383.0,XKX,Kosovo,NA,95000.0,NA,0.4066,NA
887.0,YEM,Yemen,NA,NA,NA,NA,NA
710.0,ZAF,South Africa,NA,161000.0,NA,0.489,NA
894.0,ZMB,Zambia,NA,46000.0,NA,0.3745,NA
716.0,ZWE,Zimbabwe,NA,124000.0,NA,NA,NA
