iso3_r250_id,iso3_r250_label,iso3_r250_name,Q,P,lambda,ppp_ratio,Wind_energy_provision
178.0,COG,Republic of the Congo,NA,81000.0,NA,0.4351,NA
184.0,COK,Cook Islands,NA,NA,NA,NA,NA
170.0,COL,Colombia,63.32,199000.0,0.8,0.4,25290505.0
174.0,COM,Comoros,NA,281000.0,NA,0.4586,NA
132.0,CPV,Cabo Verde,73.8,263000.0,0.63,0.5067,23999942.0
188.0,CRI,Costa Rica,1796.36,144000.0,1.0,0.5521,468570695.0
192.0,CUB,Cuba,65.99,NA,0.98,NA,NA
531.0,CUW,Curaçao,223.71,NA,1.0,0.7568,NA
162.0,CXR,Christmas Island,NA,NA,NA,NA,NA
136.0,CYM,Cayman Islands,1.4,NA,0.38,1.214,NA
196.0,CYP,Cyprus,238.56,191000.0,0.31,0.6584,21755294.0
203.0,CZE,Czechia,700.01,138000.0,0.45,0.5275,83107494.0
276.0,DEU,Germany,125894.0,256000.0,0.46,0.8035,18307392103.0
262.0,DJI,Djibouti,NA,262000.0,NA,0.5256,NA
212.0,DMA,Dominica,0.6,368000.0,0.59,0.5924,218182.0
208.0,DNK,Denmark,16149.83,242000.0,0.6,0.9803,2396412259.0
214.0,DOM,Dominican Republic,782.22,201000.0,0.47,0.414,177179877.0
12.0,DZA,Algeria,10.0,21000.0,0.18,0.3216,120330.0
218.0,ECU,Ecuador,85.53,119000.0,0.96,0.4947,19678430.0
818.0,EGY,Egypt,3001.44,97000.0,0.6,0.2322,756552883.0
232.0,ERI,Eritrea,1.44,NA,0.37,0.3112,NA
732.0,ESH,Western Sahara,NA,NA,NA,NA,NA
724.0,ESP,Spain,55647.0,260000.0,0.48,0.6763,10317507519.0
233.0,EST,Estonia,687.0,103000.0,0.48,0.5919,57645935.0
231.0,ETH,Ethiopia,848.07,36000.0,0.59,0.3566,50904885.0
246.0,FIN,Finland,6024.75,133000.0,0.6,0.9251,519564665.0
242.0,FJI,Fiji,3.42,218000.0,0.02,0.4501,26245.0
238.0,FLK,Falkland Islands,5.15,NA,0.33,NA,NA
250.0,FRA,France,34721.68,136000.0,0.47,0.7903,2792301566.0
234.0,FRO,Faroe Islands,52.6,NA,0.98,1.0136,NA
583.0,FSM,Micronesia,0.94,414000.0,0.22,0.9572,89965.0
266.0,GAB,Gabon,NA,191000.0,NA,0.4665,NA
826.0,GBR,United Kingdom,63834.9,177000.0,0.61,0.8548,8044578200.0
268.0,GEO,Georgia,84.69,66000.0,0.95,0.2828,18850615.0
831.0,GGY,Guernsey,NA,NA,NA,NA,NA
288.0,GHA,Ghana,0.04,236000.0,0.37,0.3642,8495.0
292.0,GIB,Gibraltar,NA,NA,NA,NA,NA
324.0,GIN,Guinea,NA,203000.0,NA,0.3321,NA
312.0,GLP,Guadeloupe,62.91,NA,0.26,NA,NA
270.0,GMB,Gambia,2.13,202000.0,0.38,0.3048,529261.0
624.0,GNB,Guinea-Bissau,NA,273000.0,NA,0.361,NA
226.0,GNQ,Equatorial Guinea,NA,174000.0,NA,0.4136,NA
300.0,GRC,Greece,7266.35,204000.0,0.44,0.6056,1087381661.0
308.0,GRD,Grenada,0.22,309000.0,0.64,0.6362,69736.0
304.0,GRL,Greenland,0.09,NA,0.38,0.8295,NA
320.0,GTM,Guatemala,330.78,201000.0,0.71,0.4195,112840626.0
254.0,GUF,French Guiana,NA,NA,NA,NA,NA
316.0,GUM,Guam,0.5,NA,0.39,NA,NA
328.0,GUY,Guyana,0.45,328000.0,0.6,0.4838,184425.0
344.0,HKG,"China, Hong Kong Special Administrative Region",0.99,161000.0,0.24,0.7899,48884.0
334.0,HMD,Heard Island and McDonald Island,NA,NA,NA,NA,NA
340.0,HND,Honduras,819.37,208000.0,0.8,0.4326,315492605.0
191.0,HRV,Croatia,1467.3,168000.0,0.51,0.0635,1966826497.0
332.0,HTI,Haiti,0.06,211000.0,0.62,0.3957,21409.0
348.0,HUN,Hungary,729.0,180000.0,0.5,0.4775,138273997.0
360.0,IDN,Indonesia,7.7,109000.0,0.0,0.3426,2450.0
833.0,IMN,Isle of Man,NA,NA,NA,NA,NA
356.0,IND,India,62688.88,182000.0,0.35,0.2874,14078812438.0
86.0,IOT,British Indian Ocean Territory,NA,NA,NA,NA,NA
372.0,IRL,Ireland,10019.48,190000.0,0.55,0.889,1170488010.0
364.0,IRN,Iran,634.12,52000.0,0.46,0.5607,26947024.0
368.0,IRQ,Iraq,NA,85000.0,NA,0.4631,NA
352.0,ISL,Iceland,6.57,122000.0,0.63,1.131,442872.0
376.0,ISR,Israel,190.0,118000.0,1.0,1.0708,20937792.0
380.0,ITA,Italy,20202.04,168000.0,0.41,0.7246,1922736833.0
388.0,JAM,Jamaica,274.51,264000.0,0.61,0.5561,79938059.0
832.0,JEY,Jersey,NA,NA,NA,NA,NA
400.0,JOR,Jordan,892.4,246000.0,0.52,0.4423,258518062.0
392.0,JPN,Japan,7618.0,212000.0,0.42,0.947,715663356.0
398.0,KAZ,Kazakhstan,717.4,44000.0,0.57,0.3296,54765266.0
404.0,KEN,Kenya,57.98,217000.0,0.0,0.4182,30083.0
417.0,KGZ,Kyrgyzstan,NA,36000.0,NA,0.2681,NA
116.0,KHM,Cambodia,0.3,182000.0,0.24,0.3617,35481.0
296.0,KIR,Kiribati,NA,413000.0,NA,0.6337,NA
659.0,KNA,Saint Kitts and Nevis,5.58,306000.0,0.57,0.7264,1347350.0
410.0,KOR,South Korea,2680.0,114000.0,0.39,0.7273,162025776.0
414.0,KWT,Kuwait,3.64,7000.0,0.02,0.6254,938.0
418.0,LAO,Laos,NA,132000.0,NA,0.3344,NA
422.0,LBN,Lebanon,NA,130000.0,NA,0.4229,NA
430.0,LBR,Liberia,NA,390000.0,NA,0.0019,NA
434.0,LBY,Libya,NA,126000.0,NA,0.6152,NA
662.0,LCA,Saint Lucia,NA,321000.0,NA,0.6304,NA
438.0,LIE,Liechtenstein,NA,95000.0,NA,NA,NA
144.0,LKA,Sri Lanka,348.0,173000.0,0.62,0.2893,128598940.0
426.0,LSO,Lesotho,NA,139000.0,NA,0.4213,NA
440.0,LTU,Lithuania,1499.4,95000.0,0.64,0.4834,189457296.0
442.0,LUX,Luxembourg,281.28,121000.0,0.46,0.9285,16718980.0
428.0,LVA,Latvia,154.0,114000.0,0.43,0.5371,14067286.0
446.0,MAC,"China, Macao Special Administrative Region",NA,NA,NA,0.6497,NA
663.0,MAF,Saint-Martin,NA,NA,NA,NA,NA
504.0,MAR,Morocco,4714.43,124000.0,0.91,0.436,1216087460.0
492.0,MCO,Monaco,NA,NA,NA,NA,NA
498.0,MDA,Moldova,36.92,85000.0,0.2,0.3284,1893404.0
450.0,MDG,Madagascar,0.46,113000.0,0.6,0.31,101207.0
462.0,MDV,Maldives,2.46,394000.0,0.38,0.5087,716035.0
484.0,MEX,Mexico,16880.0,165000.0,0.59,0.4946,3295672378.0
584.0,MHL,Marshall Islands,0.02,406000.0,0.44,0.8755,4469.0
807.0,MKD,North Macedonia,101.81,155000.0,0.63,0.3322,29858591.0
466.0,MLI,Mali,NA,142000.0,NA,0.3447,NA
470.0,MLT,Malta,0.06,190000.0,0.08,0.6309,1358.0
104.0,MMR,Myanmar,0.02,81000.0,0.78,0.231,5444.0
499.0,MNE,Montenegro,295.4,141000.0,0.57,0.3691,63836826.0
496.0,MNG,Mongolia,460.31,56000.0,0.68,0.3196,54784886.0
580.0,MNP,Northern Mariana Islands,NA,NA,NA,NA,NA
508.0,MOZ,Mozambique,NA,96000.0,NA,0.3738,NA
478.0,MRT,Mauritania,131.19,176000.0,0.9,0.315,65841213.0
500.0,MSR,Montserrat,NA,NA,NA,NA,NA
474.0,MTQ,Martinique,46.04,NA,0.76,NA,NA
480.0,MUS,Mauritius,15.24,205000.0,0.29,0.4746,1936360.0
454.0,MWI,Malawi,NA,172000.0,NA,0.4006,NA
458.0,MYS,Malaysia,NA,120000.0,NA,0.3774,NA
175.0,MYT,Mayotte,NA,NA,NA,NA,NA
516.0,NAM,Namibia,21.6,151000.0,0.98,0.4924,6476755.0
540.0,NCL,New Caledonia,56.58,NA,0.31,NA,NA
562.0,NER,Niger,NA,213000.0,NA,0.3958,NA
574.0,NFK,Norfolk Island,NA,NA,NA,NA,NA
566.0,NGA,Nigeria,NA,119000.0,NA,0.4224,NA
558.0,NIC,Nicaragua,730.17,334000.0,0.93,0.3275,689228658.0
570.0,NIU,Niue,NA,NA,NA,NA,NA
528.0,NLD,Netherlands,11507.93,144000.0,0.58,0.859,1122152726.0
578.0,NOR,Norway,5524.51,101000.0,0.41,1.0774,213152362.0
524.0,NPL,Nepal,0.35,120000.0,0.38,0.2831,55562.0
520.0,NRU,Nauru,NA,NA,NA,0.9948,NA
554.0,NZL,New Zealand,2255.0,120000.0,0.76,0.9465,217202436.0
512.0,OMN,Oman,8.53,60000.0,0.0,0.5149,994.0
586.0,PAK,Pakistan,2812.27,217000.0,0.51,0.2511,1234526384.0
591.0,PAN,Panama,677.8,254000.0,0.57,0.4957,197080477.0
612.0,PCN,Pitcairn Islands,NA,NA,NA,NA,NA
604.0,PER,Peru,1655.04,195000.0,1.0,0.5188,622108442.0
608.0,PHL,Philippines,1041.66,181000.0,0.53,0.3811,260874406.0
585.0,PLW,Palau,NA,321000.0,NA,0.8528,NA
598.0,PNG,Papua New Guinea,NA,289000.0,NA,0.6345,NA
616.0,POL,Poland,15106.76,137000.0,0.59,0.4424,2746615221.0
630.0,PRI,Puerto Rico,159.0,243000.0,0.34,0.8789,14861894.0
408.0,PRK,North Korea,2.33,NA,0.38,NA,NA
620.0,PRT,Portugal,13666.95,222000.0,0.59,0.6165,2925824486.0
600.0,PRY,Paraguay,NA,66000.0,NA,0.4114,NA
275.0,PSE,Palestine,NA,176000.0,NA,NA,NA
258.0,PYF,French Polynesia,0.08,NA,0.01,NA,NA
634.0,QAT,Qatar,NA,37000.0,NA,0.6218,NA
638.0,REU,Réunion,12.1,NA,0.12,NA,NA
642.0,ROU,Romania,6772.81,92000.0,0.5,0.3862,800654496.0
643.0,RUS,Russia,330.8,84000.0,0.75,0.3697,56684474.0
646.0,RWA,Rwanda,NA,137000.0,NA,0.3468,NA
682.0,SAU,Saudi Arabia,5.0,74000.0,0.35,0.4964,263429.0
729.0,SDN,Sudan,NA,24000.0,NA,0.2398,NA
686.0,SEN,Senegal,23.13,182000.0,0.04,0.3923,396027.0
702.0,SGP,Singapore,0.35,55000.0,0.82,0.6261,25166.0
239.0,SGS,South Georgia and the South Sand,0.01,NA,0.4,NA,NA
654.0,SHN,"Saint Helena, Ascension and Tris",NA,NA,NA,NA,NA
744.0,SJM,Svalbard and Jan Mayen,NA,NA,NA,NA,NA
90.0,SLB,Solomon Islands,NA,716000.0,NA,0.8852,NA
694.0,SLE,Sierra Leone,NA,180000.0,NA,0.312,NA
222.0,SLV,El Salvador,NA,195000.0,NA,0.4428,NA
674.0,SMR,San Marino,NA,155000.0,NA,0.8117,NA
706.0,SOM,Somalia,6.0,NA,0.36,NA,NA
666.0,SPM,Saint Pierre and Miquelon,NA,NA,NA,NA,NA
688.0,SRB,Serbia,898.21,107000.0,0.5,0.3767,128364915.0
728.0,SSD,South Sudan,NA,NA,NA,NA,NA
678.0,STP,São Tomé and Príncipe,NA,183000.0,NA,0.4188,NA
740.0,SUR,Suriname,NA,72000.0,NA,0.3552,NA
703.0,SVK,Slovakia,6.0,156000.0,0.31,0.571,510044.0
705.0,SVN,Slovenia,6.15,266000.0,0.4,0.6092,1083262.0
752.0,SWE,Sweden,19847.0,104000.0,0.51,0.9076,1161329928.0
748.0,SWZ,Swaziland,NA,165000.0,NA,0.4231,NA
534.0,SXM,Sint Maarten,NA,NA,NA,0.7626,NA
690.0,SYC,Seychelles,4.88,321000.0,0.14,0.5594,384286.0
760.0,SYR,Syria,1.05,78000.0,0.38,0.3735,82310.0
796.0,TCA,Turks and Caicos Islands,NA,NA,NA,1.0195,NA
148.0,TCD,Chad,8.9,212000.0,1.0,0.3799,4966885.0
768.0,TGO,Togo,NA,176000.0,NA,0.3731,NA
764.0,THA,Thailand,3673.28,137000.0,0.55,0.381,725258013.0
762.0,TJK,Tajikistan,NA,63000.0,NA,0.2517,NA
772.0,TKL,Tokelau,0.04,NA,0.59,NA,NA
795.0,TKM,Turkmenistan,NA,NA,NA,NA,NA
626.0,TLS,Timor-Leste,NA,234000.0,NA,0.3429,NA
776.0,TON,Tonga,1.43,362000.0,0.19,0.7341,134410.0
780.0,TTO,Trinidad and Tobago,0.03,66000.0,0.62,0.5871,1868.0
788.0,TUN,Tunisia,500.0,77000.0,0.45,0.2824,61119247.0
792.0,TUR,Turkey,21730.71,89000.0,0.66,0.3238,3923455035.0
798.0,TUV,Tuvalu,NA,NA,NA,0.9719,NA
158.0,TWN,Taiwan,1892.2,117000.0,0.5,NA,NA
834.0,TZA,Tanzania,NA,126000.0,NA,0.3566,NA
800.0,UGA,Uganda,NA,169000.0,NA,0.3397,NA
804.0,UKR,Ukraine,2244.41,64000.0,0.38,0.2546,216255531.0
581.0,UMI,United States Minor Outlying Isl,NA,NA,NA,NA,NA
858.0,URY,Uruguay,4748.95,167000.0,0.73,0.7104,809469722.0
840.0,USA,United States,298200.0,181000.0,0.66,1.0,35579249072.0
860.0,UZB,Uzbekistan,15.5,52000.0,1.0,0.2389,3373459.0
336.0,VAT,Vatican City,NA,NA,NA,NA,NA
670.0,VCT,Saint Vincent and the Grenadines,NA,346000.0,NA,0.5698,NA
862.0,VEN,Venezuela,60.36,1238000.0,0.24,NA,NA
92.0,VGB,British Virgin Islands,2.45,NA,0.71,NA,NA
850.0,VIR,"Virgin Islands, U.S.",0.27,NA,0.62,0.9653,NA
704.0,VNM,Vietnam,909.69,125000.0,0.55,0.312,199289517.0
548.0,VUT,Vanuatu,6.16,382000.0,0.39,0.9664,950242.0
876.0,WLF,Wallis and Futuna,NA,NA,NA,NA,NA
882.0,WSM,Samoa,0.22,385000.0,0.03,0.648,3958.0
383.0,XKX,Kosovo,90.65,95000.0,0.61,0.4066,12962562.0
887.0,YEM,Yemen,NA,NA,NA,NA,NA
710.0,ZAF,South Africa,294.25,161000.0,0.0,0.489,96881.0
894.0,ZMB,Zambia,NA,46000.0,NA,0.3745,NA
716.0,ZWE,Zimbabwe,NA,124000.0,NA,NA,NA
