iso3_r250_id,iso3_r250_label,iso3_r250_name,Q,P,lambda,ppp_ratio,Solar_energy_provision
380.0,ITA,Italy,23701.38,168000.0,0.42,0.7246,2323463276.0
388.0,JAM,Jamaica,89.96,264000.0,0.29,0.5561,12425596.0
832.0,JEY,Jersey,NA,NA,NA,NA,NA
400.0,JOR,Jordan,2087.17,246000.0,0.88,0.4423,1017350481.0
392.0,JPN,Japan,69381.0,212000.0,0.41,0.947,6305940535.0
398.0,KAZ,Kazakhstan,563.14,44000.0,0.38,0.3296,28555635.0
404.0,KEN,Kenya,112.34,217000.0,0.31,0.4182,18310186.0
417.0,KGZ,Kyrgyzstan,NA,36000.0,NA,0.2681,NA
116.0,KHM,Cambodia,139.71,182000.0,0.37,0.3617,26018420.0
296.0,KIR,Kiribati,5.53,413000.0,0.69,0.6337,2471353.0
659.0,KNA,Saint Kitts and Nevis,3.18,306000.0,0.62,0.7264,832030.0
410.0,KOR,South Korea,12996.0,114000.0,0.45,0.7273,918317020.0
414.0,KWT,Kuwait,58.54,7000.0,0.23,0.6254,147868.0
418.0,LAO,Laos,45.16,132000.0,0.5,0.3344,8982278.0
422.0,LBN,Lebanon,111.71,130000.0,0.57,0.4229,19632548.0
430.0,LBR,Liberia,2.18,390000.0,0.54,0.0019,247795286.0
434.0,LBY,Libya,7.79,126000.0,0.6,0.6152,952313.0
662.0,LCA,Saint Lucia,8.14,321000.0,0.8,0.6304,3317390.0
438.0,LIE,Liechtenstein,NA,95000.0,NA,NA,NA
144.0,LKA,Sri Lanka,330.1,173000.0,0.35,0.2893,68443509.0
426.0,LSO,Lesotho,1.03,139000.0,0.68,0.4213,232918.0
440.0,LTU,Lithuania,91.1,95000.0,0.31,0.4834,5559322.0
442.0,LUX,Luxembourg,130.38,121000.0,0.28,0.9285,4757727.0
428.0,LVA,Latvia,3.14,114000.0,0.34,0.5371,226268.0
446.0,MAC,"China, Macao Special Administrative Region",NA,NA,NA,0.6497,NA
663.0,MAF,Saint-Martin,0.45,NA,0.31,NA,NA
504.0,MAR,Morocco,1608.98,124000.0,0.9,0.436,409769305.0
492.0,MCO,Monaco,NA,NA,NA,NA,NA
498.0,MDA,Moldova,1.44,85000.0,0.04,0.3284,16174.0
450.0,MDG,Madagascar,38.21,113000.0,0.66,0.31,9162036.0
462.0,MDV,Maldives,30.91,394000.0,0.59,0.5087,14022916.0
484.0,MEX,Mexico,7061.37,165000.0,0.42,0.4946,993732228.0
584.0,MHL,Marshall Islands,2.3,406000.0,0.52,0.8755,552220.0
807.0,MKD,North Macedonia,23.22,155000.0,0.54,0.3322,5812432.0
466.0,MLI,Mali,17.06,142000.0,0.6,0.3447,4242978.0
470.0,MLT,Malta,195.39,190000.0,0.48,0.6309,28130376.0
104.0,MMR,Myanmar,85.29,81000.0,0.35,0.231,10350466.0
499.0,MNE,Montenegro,NA,141000.0,NA,0.3691,NA
496.0,MNG,Mongolia,116.79,56000.0,0.5,0.3196,10242440.0
580.0,MNP,Northern Mariana Islands,NA,NA,NA,NA,NA
508.0,MOZ,Mozambique,32.58,96000.0,0.25,0.3738,2103430.0
478.0,MRT,Mauritania,149.0,176000.0,0.68,0.315,56319519.0
500.0,MSR,Montserrat,NA,NA,NA,NA,NA
474.0,MTQ,Martinique,85.33,NA,0.42,NA,NA
480.0,MUS,Mauritius,135.69,205000.0,0.53,0.4746,30811723.0
454.0,MWI,Malawi,6.43,172000.0,0.63,0.4006,1740502.0
458.0,MYS,Malaysia,481.26,120000.0,0.16,0.3774,23836530.0
175.0,MYT,Mayotte,24.88,NA,0.58,NA,NA
516.0,NAM,Namibia,356.03,151000.0,1.0,0.4924,109178253.0
540.0,NCL,New Caledonia,116.12,NA,0.61,NA,NA
562.0,NER,Niger,23.64,213000.0,0.66,0.3958,8456874.0
574.0,NFK,Norfolk Island,NA,NA,NA,NA,NA
566.0,NGA,Nigeria,54.47,119000.0,0.58,0.4224,8831455.0
558.0,NIC,Nicaragua,25.62,334000.0,0.62,0.3275,16079379.0
570.0,NIU,Niue,0.47,NA,0.14,NA,NA
528.0,NLD,Netherlands,5399.4,144000.0,0.25,0.859,225437747.0
578.0,NOR,Norway,106.64,101000.0,0.31,1.0774,3129120.0
524.0,NPL,Nepal,83.78,120000.0,0.6,0.2831,21391462.0
520.0,NRU,Nauru,1.55,NA,0.19,0.9948,NA
554.0,NZL,New Zealand,128.0,120000.0,0.41,0.9465,6698230.0
512.0,OMN,Oman,50.57,60000.0,0.78,0.5149,4578203.0
586.0,PAK,Pakistan,920.85,217000.0,0.46,0.2511,365613148.0
591.0,PAN,Panama,335.33,254000.0,0.58,0.4957,100096329.0
612.0,PCN,Pitcairn Islands,NA,NA,NA,NA,NA
604.0,PER,Peru,822.57,195000.0,1.0,0.5188,309194142.0
608.0,PHL,Philippines,1282.51,181000.0,0.5,0.3811,303705581.0
585.0,PLW,Palau,3.51,321000.0,0.51,0.8528,679027.0
598.0,PNG,Papua New Guinea,4.34,289000.0,0.56,0.6345,1114859.0
616.0,POL,Poland,710.67,137000.0,0.12,0.4424,26726738.0
630.0,PRI,Puerto Rico,498.08,243000.0,0.58,0.8789,79313673.0
408.0,PRK,North Korea,83.81,NA,0.49,NA,NA
620.0,PRT,Portugal,1342.25,222000.0,0.58,0.6165,280780824.0
600.0,PRY,Paraguay,0.12,66000.0,0.84,0.4114,15917.0
275.0,PSE,Palestine,123.34,176000.0,0.59,NA,NA
258.0,PYF,French Polynesia,39.7,NA,0.35,NA,NA
634.0,QAT,Qatar,8.36,37000.0,0.65,0.6218,322737.0
638.0,REU,Réunion,261.74,NA,0.5,NA,NA
642.0,ROU,Romania,1777.62,92000.0,0.48,0.3862,204838749.0
643.0,RUS,Russia,940.4,84000.0,0.24,0.3697,52298582.0
646.0,RWA,Rwanda,31.04,137000.0,0.54,0.3468,6678775.0
682.0,SAU,Saudi Arabia,261.0,74000.0,0.98,0.4964,38214249.0
729.0,SDN,Sudan,21.55,24000.0,0.03,0.2398,74798.0
686.0,SEN,Senegal,258.11,182000.0,0.59,0.3923,70765647.0
702.0,SGP,Singapore,301.0,55000.0,0.41,0.6261,10856736.0
239.0,SGS,South Georgia and the South Sand,NA,NA,NA,NA,NA
654.0,SHN,"Saint Helena, Ascension and Tris",NA,NA,NA,NA,NA
744.0,SJM,Svalbard and Jan Mayen,NA,NA,NA,NA,NA
90.0,SLB,Solomon Islands,3.37,716000.0,0.54,0.8852,1465602.0
694.0,SLE,Sierra Leone,6.36,180000.0,0.54,0.312,1985027.0
222.0,SLV,El Salvador,576.43,195000.0,0.54,0.4428,137872189.0
674.0,SMR,San Marino,NA,155000.0,NA,0.8117,NA
706.0,SOM,Somalia,3.8,NA,0.61,NA,NA
666.0,SPM,Saint Pierre and Miquelon,NA,NA,NA,NA,NA
688.0,SRB,Serbia,27.86,107000.0,0.45,0.3767,3532527.0
728.0,SSD,South Sudan,1.2,NA,0.59,NA,NA
678.0,STP,São Tomé and Príncipe,0.36,183000.0,0.38,0.4188,60293.0
740.0,SUR,Suriname,11.67,72000.0,0.55,0.3552,1291686.0
703.0,SVK,Slovakia,589.0,156000.0,0.36,0.571,58160523.0
705.0,SVN,Slovenia,303.04,266000.0,0.4,0.6092,53282573.0
752.0,SWE,Sweden,679.0,104000.0,0.34,0.9076,26475902.0
748.0,SWZ,Swaziland,0.13,165000.0,0.33,0.4231,17315.0
534.0,SXM,Sint Maarten,NA,NA,NA,0.7626,NA
690.0,SYC,Seychelles,6.91,321000.0,0.52,0.5594,2041730.0
760.0,SYR,Syria,4.3,78000.0,0.69,0.3735,623670.0
796.0,TCA,Turks and Caicos Islands,1.47,NA,0.61,1.0195,NA
148.0,TCD,Chad,0.88,212000.0,0.62,0.3799,305986.0
768.0,TGO,Togo,12.13,176000.0,0.66,0.3731,3771230.0
764.0,THA,Thailand,5145.72,137000.0,0.69,0.381,1267981843.0
762.0,TJK,Tajikistan,NA,63000.0,NA,0.2517,NA
772.0,TKL,Tokelau,1.66,NA,0.63,NA,NA
795.0,TKM,Turkmenistan,NA,NA,NA,NA,NA
626.0,TLS,Timor-Leste,0.92,234000.0,0.61,0.3429,381208.0
776.0,TON,Tonga,7.8,362000.0,0.41,0.7341,1585002.0
780.0,TTO,Trinidad and Tobago,6.23,66000.0,0.61,0.5871,427962.0
788.0,TUN,Tunisia,258.0,77000.0,1.0,0.2824,70340190.0
792.0,TUR,Turkey,9252.89,89000.0,0.61,0.3238,1538986520.0
798.0,TUV,Tuvalu,1.79,NA,0.13,0.9719,NA
158.0,TWN,Taiwan,4015.9,117000.0,0.35,NA,NA
834.0,TZA,Tanzania,27.94,126000.0,0.72,0.3566,7101961.0
800.0,UGA,Uganda,119.48,169000.0,0.6,0.3397,35829645.0
804.0,UKR,Ukraine,3674.81,64000.0,0.19,0.2546,177209911.0
581.0,UMI,United States Minor Outlying Isl,NA,NA,NA,NA,NA
858.0,URY,Uruguay,424.07,167000.0,0.66,0.7104,66085421.0
840.0,USA,United States,97478.0,181000.0,0.62,1.0,10988850630.0
860.0,UZB,Uzbekistan,0.1,52000.0,0.17,0.2389,3711.0
336.0,VAT,Vatican City,NA,NA,NA,NA,NA
670.0,VCT,Saint Vincent and the Grenadines,1.66,346000.0,0.1,0.5698,101804.0
862.0,VEN,Venezuela,4.86,1238000.0,0.67,NA,NA
92.0,VGB,British Virgin Islands,1.64,NA,0.65,NA,NA
850.0,VIR,"Virgin Islands, U.S.",14.0,NA,0.54,0.9653,NA
704.0,VNM,Vietnam,4988.47,125000.0,0.36,0.312,722844146.0
548.0,VUT,Vanuatu,7.58,382000.0,0.65,0.9664,1956446.0
876.0,WLF,Wallis and Futuna,NA,NA,NA,NA,NA
882.0,WSM,Samoa,23.71,385000.0,0.67,0.648,9376901.0
383.0,XKX,Kosovo,10.55,95000.0,0.39,0.4066,953444.0
887.0,YEM,Yemen,492.31,NA,0.78,NA,NA
710.0,ZAF,South Africa,6850.99,161000.0,0.54,0.489,1216317082.0
894.0,ZMB,Zambia,108.75,46000.0,0.42,0.3745,5667540.0
716.0,ZWE,Zimbabwe,16.91,124000.0,0.55,NA,NA
