iso3_r250_id,iso3_r250_label,iso3_r250_name,Solar_energy_provision,Wind_energy_provision,Geothermal_energy_provision
275.0,PSE,Palestine,,,
258.0,PYF,French Polynesia,,,
634.0,QAT,Qatar,322737.0,,
638.0,REU,Réunion,,,
642.0,ROU,Romania,204838749.0,800654496.0,
643.0,RUS,Russia,52298582.0,56684474.0,52067767.0
646.0,RWA,Rwanda,6678775.0,,
682.0,SAU,Saudi Arabia,38214249.0,263429.0,
729.0,SDN,Sudan,74798.0,,
686.0,SEN,Senegal,70765647.0,396027.0,
702.0,SGP,Singapore,10856736.0,25166.0,
239.0,SGS,South Georgia and the South Sand,,,
654.0,SHN,"Saint Helena, Ascension and Tris",,,
744.0,SJM,Svalbard and Jan Mayen,,,
90.0,SLB,Solomon Islands,1465602.0,,
694.0,SLE,Sierra Leone,1985027.0,,
222.0,SLV,El Salvador,137872189.0,,511729283.0
674.0,SMR,San Marino,,,
706.0,SOM,Somalia,,,
666.0,SPM,Saint Pierre and Miquelon,,,
688.0,SRB,Serbia,3532527.0,128364915.0,
728.0,SSD,South Sudan,,,
678.0,STP,São Tomé and Príncipe,60293.0,,
740.0,SUR,Suriname,1291686.0,,
703.0,SVK,Slovakia,58160523.0,510044.0,
705.0,SVN,Slovenia,53282573.0,1083262.0,
752.0,SWE,Sweden,26475902.0,1161329928.0,
748.0,SWZ,Swaziland,17315.0,,
534.0,SXM,Sint Maarten,,,
690.0,SYC,Seychelles,2041730.0,384286.0,
760.0,SYR,Syria,623670.0,82310.0,
796.0,TCA,Turks and Caicos Islands,,,
148.0,TCD,Chad,305986.0,4966885.0,
768.0,TGO,Togo,3771230.0,,
764.0,THA,Thailand,1267981843.0,725258013.0,166174.0
762.0,TJK,Tajikistan,,,
772.0,TKL,Tokelau,,,
795.0,TKM,Turkmenistan,,,
626.0,TLS,Timor-Leste,381208.0,,
776.0,TON,Tonga,1585002.0,134410.0,
780.0,TTO,Trinidad and Tobago,427962.0,1868.0,
788.0,TUN,Tunisia,70340190.0,61119247.0,
792.0,TUR,Turkey,1538986520.0,3923455035.0,1502849810.0
798.0,TUV,Tuvalu,,,
158.0,TWN,Taiwan,,,
834.0,TZA,Tanzania,7101961.0,,
800.0,UGA,Uganda,35829645.0,,
804.0,UKR,Ukraine,177209911.0,216255531.0,
581.0,UMI,United States Minor Outlying Isl,,,
858.0,URY,Uruguay,66085421.0,809469722.0,
840.0,USA,United States,10988850630.0,35579249072.0,2609547261.0
860.0,UZB,Uzbekistan,3711.0,3373459.0,
336.0,VAT,Vatican City,,,
670.0,VCT,Saint Vincent and the Grenadines,101804.0,,
862.0,VEN,Venezuela,,,
92.0,VGB,British Virgin Islands,,,
850.0,VIR,"Virgin Islands, U.S.",,,
704.0,VNM,Vietnam,722844146.0,199289517.0,
548.0,VUT,Vanuatu,1956446.0,950242.0,
876.0,WLF,Wallis and Futuna,,,
882.0,WSM,Samoa,9376901.0,3958.0,
383.0,XKX,Kosovo,953444.0,12962562.0,
887.0,YEM,Yemen,,,
710.0,ZAF,South Africa,1216317082.0,96881.0,
894.0,ZMB,Zambia,5667540.0,,
716.0,ZWE,Zimbabwe,,,
